CodMunIBGE,"PIB (mil R$), a preços de 2010"
3154457,48241
4109005,48320
2610301,48322
1304005,48369
2614303,48480
4313334,48522
1703701,48612
1302207,48746
3171030,48770
3200508,48786
2919405,48839
4121257,48849
3103801,48849
3151008,48859
2608602,48887
2915700,48887
2601508,48904
3145059,48912
3520707,48933
3100500,48966
2707602,48974
2923902,48980
3122702,48993
3160306,49007
3123528,49010
2502409,49028
2300903,49056
3528304,49120
2105906,49217
4308854,49232
2915353,49243
4108452,49247
3529658,49304
1703800,49310
4201604,49320
1300904,49393
1712702,49393
2917409,49403
1710508,49459
4117404,49473
5108857,49541
2102754,49600
2906600,49627
5205059,49647
3132305,49688
2210508,49763
4112306,49774
4206801,49785
4319372,49809
2414803,49825
4314035,49842
2612554,49850
4320230,49861
5213905,49868
3139102,49889
4115002,49949
1101450,49986
1101559,50001
2611200,50005
4120333,50018
3150604,50031
4310538,50051
3158904,50122
4107546,50146
2409100,50210
2612901,50215
2310605,50235
3164209,50258
3126901,50275
2305704,50313
2917334,50314
4205100,50370
4207601,50378
5108105,50404
4314068,50409
2902005,50422
3200359,50507
3161205,50536
4300638,50626
4312104,50651
4117271,50695
5107578,50716
3530409,50767
2930758,50772
3121100,50817
5103361,51062
2210706,51074
2925402,51081
3124708,51086
4320602,51092
2111029,51100
5221809,51104
4126207,51119
2409308,51172
4310462,51187
4125357,51216
2102507,51233
4107157,51252
3510104,51284
1707108,51343
2602407,51371
2603306,51404
4304101,51422
2309003,51446
2406700,51452
5212956,51470
2926657,51475
4303400,51634
1301654,51645
2918506,51649
2300408,51655
2500908,51671
2205102,51692
2105351,51697
2911857,51702
3126000,51734
3521150,51779
2909703,51840
1300086,51913
2106300,51930
5204854,51932
3533700,51944
2800704,51976
2313351,51983
4309951,51996
4300646,52009
2903003,52024
4209805,52035
2616183,52061
2111052,52090
2924504,52108
3129202,52136
4123204,52221
3116407,52246
1702901,52291
3505401,52299
2103554,52305
3537156,52317
4303558,52326
4204194,52331
3134509,52377
4312138,52401
4307203,52430
2507903,52433
2913804,52461
2924058,52462
2412302,52468
2933158,52481
2506103,52555
2104602,52650
3141306,52659
3545100,52694
2507200,52713
2901304,52726
3507704,52739
2107100,52780
3113503,52832
4305124,52861
2312502,52901
5101605,52974
3106507,52979
2104404,52987
5003900,52998
4127882,53011
4304952,53011
4317756,53061
3163904,53080
2414506,53106
3116100,53142
4306379,53181
2932457,53184
3546504,53194
5219738,53199
2922250,53202
4311254,53268
2932408,53354
2311900,53389
2204709,53392
4128658,53426
3508900,53478
3154705,53483
3122355,53488
4315206,53495
4302659,53512
3528205,53531
1500131,53598
2612455,53711
1715259,53714
3131802,53737
2926806,53740
3548203,53740
3118908,53759
3202009,53766
4311791,53774
2805307,53807
3131109,53905
4207759,53905
3163102,53918
4315008,53950
3148905,53968
3523800,53999
3149200,54034
3119203,54097
1702307,54102
4321469,54104
1507755,54126
5106000,54170
4212056,54260
3553104,54267
2304657,54293
2614709,54311
1713601,54331
1706100,54392
1507508,54398
5219209,54425
2919306,54475
2921302,54530
2607703,54543
3165206,54557
3517307,54641
4305850,54683
2930402,54697
4321352,54752
1718865,54763
5007307,54781
3143708,54879
3130606,54941
4121356,54951
3502606,54977
1400704,55009
2103752,55055
2601300,55068
1300680,55075
4102208,55078
2408953,55098
4312302,55125
2930808,55128
2915304,55132
5100508,55183
3159357,55386
3125952,55424
2605806,55434
2407500,55459
2105609,55489
2205581,55497
3134707,55575
4123824,55580
4126900,55638
1707306,55728
1200344,55802
2210805,55840
3515350,55943
3532157,55946
1501006,55948
2612703,55950
4126702,55959
3154101,55992
2500502,56027
4202503,56027
4305447,56075
4313425,56116
2107605,56149
2607950,56164
2925600,56193
4311601,56213
3152303,56233
2101905,56247
5108303,56270
2913002,56274
3501806,56280
4120408,56294
1505007,56295
3164407,56425
2926103,56431
2108801,56477
4306429,56592
3152170,56680
4319703,56725
4310850,56777
1501600,56788
4306452,56791
2312601,56841
3523008,56900
3171600,56939
4203154,56991
2402709,57017
3556354,57083
3107604,57108
4116950,57212
4313003,57241
2102556,57290
2605459,57330
5208509,57390
3509106,57393
4307104,57417
2410108,57421
3155405,57445
4201802,57455
2931806,57457
2913408,57469
5003504,57505
3134806,57548
4311775,57592
3534104,57598
2903706,57669
2302057,57700
1507805,57736
2930766,57749
3557154,57801
1507102,57871
2702553,57878
5201801,57897
