CodMunIBGE,Habitantes 2010
2510501,3627
4307815,3628
3520806,3630
4319703,3632
2406908,3633
4310900,3633
4106100,3636
2505808,3638
5205059,3638
4123204,3646
2209500,3648
5106851,3649
5202601,3650
2704906,3652
4315354,3653
3109600,3654
5204656,3656
3127388,3659
5221908,3659
2207850,3663
4120150,3663
3528205,3664
4301552,3665
4116307,3672
1718402,3681
3111150,3684
5219357,3686
2411056,3687
1703891,3688
4300851,3693
3503505,3696
4308078,3697
2807006,3698
3545506,3699
2210102,3700
3504701,3702
4302600,3702
5203104,3714
2511004,3721
4205100,3721
4300059,3722
1712405,3725
3119906,3730
3171402,3731
3144672,3732
2918902,3733
5207352,3733
3502408,3738
2806503,3749
5106273,3749
2512036,3751
3125002,3753
5107792,3754
1703867,3756
2207793,3757
5220264,3757
5108303,3760
3141207,3761
1715101,3762
4204350,3767
1703305,3768
1718501,3768
4311981,3768
1715002,3770
2204600,3771
2201556,3778
3144904,3790
1600550,3793
3106804,3793
2209153,3794
3168309,3794
4103156,3796
5103809,3796
5201603,3802
4120853,3803
4123105,3803
5201504,3803
1707553,3805
2202737,3811
2801900,3813
3122470,3814
3500907,3815
3535903,3815
4115739,3818
2414753,3821
3159100,3822
3154705,3826
4125456,3830
3163300,3834
4116406,3836
5218102,3839
3141900,3840
4320602,3842
3121704,3848
5214101,3849
2201988,3850
2201176,3852
2512200,3854
3127206,3855
3529609,3855
4313391,3855
4314779,3857
2408706,3859
3158607,3860
2205581,3863
1718808,3864
4312153,3865
3542305,3873
2411908,3874
2910206,3874
3512704,3874
3148905,3875
2202455,3878
3522653,3880
3534005,3884
3107604,3887
4304671,3890
3500808,3891
4109005,3891
3501202,3897
4122172,3898
2504074,3899
2918704,3901
3520707,3903
2411700,3905
3153202,3908
4117214,3908
5107750,3908
3134509,3913
4102208,3913
3528908,3916
4305959,3917
3100401,3920
2202251,3921
2413201,3924
4322251,3924
4123824,3925
4313425,3925
4107538,3926
3128501,3929
3120706,3934
2919009,3936
3135308,3939
2508554,3942
4102752,3945
3114600,3948
2401503,3950
3169059,3950
4128658,3950
2408607,3952
3115201,3954
4121307,3955
2801108,3956
5215256,3956
4215356,3961
3152131,3966
3157609,3968
4309159,3970
4113429,3973
4314308,3973
2512077,3978
4313490,3978
4110003,3982
2514800,3985
3109253,3992
5219605,3995
3163201,3996
4312807,4001
3546207,4002
4106555,4002
2514701,4010
5005103,4011
3140308,4012
4301875,4012
2508703,4019
2105658,4020
4120309,4020
3159001,4023
5209804,4029
5215405,4034
4208609,4041
4305405,4044
4210902,4045
3110202,4047
3508207,4053
3100807,4054
2207306,4059
3162658,4060
4309951,4061
3150208,4062
3531605,4063
2206654,4068
4312054,4068
5108204,4071
3508900,4072
3540259,4074
3163003,4075
3149606,4076
4103958,4076
3549607,4077
3132602,4079
3167905,4079
4212239,4080
3160108,4085
5107248,4085
4318481,4094
4119707,4095
3126307,4098
4310850,4098
3501103,4102
4310306,4102
3131406,4107
4212403,4107
3168101,4112
3136801,4113
2210631,4116
3531704,4120
5213772,4122
1703073,4123
3541109,4123
3150000,4128
4320859,4131
4121257,4134
3160207,4135
2513927,4138
4315206,4141
4219606,4142
4113403,4145
2207553,4147
3525607,4150
2410801,4156
5107404,4158
3533700,4163
2305100,4164
2512762,4164
4310702,4171
4311122,4177
1705607,4182
2203255,4183
3532108,4186
2207959,4187
2407609,4188
1718550,4191
3516804,4193
4201273,4193
3112059,4195
3163102,4198
2703908,4202
3120102,4204
1701101,4213
2514552,4219
3140100,4219
2501534,4220
3127404,4220
3166501,4220
4323408,4221
4323457,4221
3540408,4223
3137304,4225
2412401,4231
2404002,4233
2208858,4241
4313607,4243
3515194,4244
3156452,4247
4207759,4253
4309555,4254
5209408,4258
2208874,4263
2203420,4264
2512754,4264
1600253,4265
4211454,4267
3507308,4268
3543105,4273
3532702,4274
4211405,4275
3548401,4277
4106571,4278
2211704,4280
1720309,4283
3532207,4288
3532058,4290
4103479,4290
3502002,4293
2408409,4295
3530409,4295
3521200,4299
4110409,4299
4215406,4301
4300455,4301
3136405,4305
4100459,4306
2205250,4309
2209559,4313
2509339,4321
2802007,4326
4315750,4330
2211407,4336
2514008,4344
2702702,4345
1712504,4352
4205209,4352
3527801,4353
3523008,4357
2510303,4361
3508306,4365
2203800,4366
2201804,4369
2607406,4369
3510153,4369
3106655,4370
4309753,4371
3136553,4376
1600055,4380
4321857,4381
1720499,4383
3509957,4385
1714302,4386
3161601,4389
2205300,4390
4300034,4394
2515930,4395
4202503,4395
4322152,4395
2514107,4396
3157377,4397
5221551,4399
2204550,4401
4113601,4401
4122800,4403
4104055,4407
4204103,4411
5212956,4414
2411007,4418
3170438,4418
3516853,4419
3150539,4420
5219712,4423
2111573,4425
3166956,4425
4212270,4425
2210359,4427
3555505,4427
3124401,4429
3525805,4430
3102209,4444
2209856,4445
3543204,4446
4214904,4446
3502606,4450
4305132,4454
1703206,4456
2206001,4456
3117405,4456
3123304,4462
3521150,4463
3539608,4463
4202701,4468
4314472,4471
2202802,4475
2204105,4477
3145851,4493
2607109,4496
4314498,4497
3106606,4498
5200555,4505
1717008,4506
4113106,4506
2509602,4508
5210562,4513
