date,IDHM 2010,CodMunIBGE
2010-01-01,0.545,2106706
2010-01-01,0.61,2106755
2010-01-01,0.622,2106805
2010-01-01,0.546,2106904
2010-01-01,0.575,2107001
2010-01-01,0.548,2107100
2010-01-01,0.585,2107209
2010-01-01,0.566,2107258
2010-01-01,0.584,2107308
2010-01-01,0.581,2107357
2010-01-01,0.589,2107407
2010-01-01,0.575,2107456
2010-01-01,0.724,2107506
2010-01-01,0.556,2107605
2010-01-01,0.58,2107704
2010-01-01,0.542,2107803
2010-01-01,0.532,2107902
2010-01-01,0.61,2108009
2010-01-01,0.561,2108058
2010-01-01,0.549,2108108
2010-01-01,0.682,2108207
2010-01-01,0.516,2108256
2010-01-01,0.554,2108306
2010-01-01,0.599,2108405
2010-01-01,0.564,2108454
2010-01-01,0.633,2108504
2010-01-01,0.637,2108603
2010-01-01,0.541,2108702
2010-01-01,0.576,2108801
2010-01-01,0.576,2108900
2010-01-01,0.684,2109007
2010-01-01,0.615,2109056
2010-01-01,0.653,2109106
2010-01-01,0.563,2109205
2010-01-01,0.591,2109239
2010-01-01,0.557,2109270
2010-01-01,0.587,2109304
2010-01-01,0.512,2109403
2010-01-01,0.626,2109452
2010-01-01,0.576,2109502
2010-01-01,0.615,2109551
2010-01-01,0.632,2109601
2010-01-01,0.565,2109700
2010-01-01,0.525,2109759
2010-01-01,0.571,2109809
2010-01-01,0.674,2109908
2010-01-01,0.55,2110005
2010-01-01,0.599,2110039
2010-01-01,0.555,2110104
2010-01-01,0.609,2110203
2010-01-01,0.51,2110237
2010-01-01,0.518,2110278
2010-01-01,0.566,2110302
2010-01-01,0.541,2110401
2010-01-01,0.602,2110500
2010-01-01,0.572,2110609
2010-01-01,0.59,2110658
2010-01-01,0.582,2110708
2010-01-01,0.557,2110807
2010-01-01,0.584,2110856
2010-01-01,0.528,2110906
2010-01-01,0.598,2111003
2010-01-01,0.509,2111029
2010-01-01,0.609,2111052
2010-01-01,0.517,2111078
2010-01-01,0.615,2111102
2010-01-01,0.708,2111201
2010-01-01,0.557,2111250
2010-01-01,0.768,2111300
2010-01-01,0.54,2111409
2010-01-01,0.616,2111508
2010-01-01,0.605,2111532
2010-01-01,0.6,2111573
2010-01-01,0.61,2111607
2010-01-01,0.516,2111631
2010-01-01,0.516,2111672
2010-01-01,0.592,2111706
2010-01-01,0.493,2111722
2010-01-01,0.538,2111748
2010-01-01,0.602,2111763
2010-01-01,0.519,2111789
2010-01-01,0.564,2111805
2010-01-01,0.579,2111904
2010-01-01,0.568,2111953
2010-01-01,0.599,2112001
2010-01-01,0.537,2112100
2010-01-01,0.649,2112209
2010-01-01,0.606,2112233
2010-01-01,0.555,2112274
2010-01-01,0.572,2112308
2010-01-01,0.561,2112407
2010-01-01,0.536,2112456
2010-01-01,0.561,2112506
2010-01-01,0.588,2112605
2010-01-01,0.542,2112704
2010-01-01,0.618,2112803
2010-01-01,0.581,2112852
2010-01-01,0.596,2112902
2010-01-01,0.57,2113009
2010-01-01,0.595,2114007
2010-01-01,0.528,2200053
2010-01-01,0.599,2200103
2010-01-01,0.639,2200202
2010-01-01,0.531,2200251
2010-01-01,0.585,2200277
2010-01-01,0.585,2200301
2010-01-01,0.614,2200400
2010-01-01,0.578,2200459
2010-01-01,0.598,2200509
2010-01-01,0.63,2200608
