CodMunIBGE,Receitas Correntes 2010 (R$)
4315453,8354492.37
3107208,8355557.38
2513208,8355874.0
4323507,8373619.82
1712504,8374423.26
1703909,8376118.37
3141900,8377451.07
3522158,8379480.64
3102506,8381923.0
3127206,8382058.35
2208858,8382551.21
4202156,8385627.51
4206751,8389408.87
2910206,8390435.48
2503100,8398876.71
5103437,8400744.76
4305934,8400779.66
2406155,8401270.36
4108551,8402875.43
4119251,8403149.7
2207207,8406235.84
5215652,8410569.15
2409605,8416215.11
3108701,8416972.89
3101300,8417086.22
4205555,8418750.3
4213153,8418878.18999999
2412401,8423234.76999999
2205524,8423589.35
2210631,8423589.35
2413557,8426535.9
4306551,8427265.68
2512762,8430962.68999999
2201960,8431116.3
2707008,8435435.22
3130002,8435657.64
3122504,8442137.14
4315057,8442607.47
2413300,8443552.83
4108106,8443556.8
4306924,8443888.83
3128253,8445699.58
4318440,8446528.63
3123858,8448934.84
2202752,8450020.0
3554607,8452018.4
4113429,8452209.86
4311270,8454989.97
4322376,8457747.9
3135308,8458479.82
3515657,8463166.39
2511707,8467408.26999999
3549201,8475888.81
4128807,8479036.21
2907400,8479362.23
3116308,8480291.38
3533809,8480304.01999999
2410504,8480496.88
2107308,8481085.41
4116406,8481153.71
2111953,8481753.64
5206305,8482636.0
4205175,8483036.73
5203104,8485424.64
3527504,8485517.58
3144904,8486620.82
5101001,8487081.65
2411809,8489581.49
4322558,8496918.79
5210562,8496923.0
2500536,8497452.45
2207405,8503305.74
4125902,8505622.93
3114600,8507235.93999999
3171402,8508449.83
4320321,8509153.9
3111903,8510255.24
5205703,8514354.92
4106852,8520767.35
2514305,8521781.86
3111705,8521884.26
2201770,8522189.78
4310876,8522767.18
4312138,8523904.78
4109005,8526265.56
4315958,8534927.46
2502706,8535332.51
2209872,8544366.39
4309571,8548736.38
1400605,8548856.63
4121307,8549608.09
4102703,8550932.0
4111605,8559226.49
3516507,8559730.99
4117404,8561262.5
4117214,8565386.53
4205100,8566399.43999999
2503902,8566963.31
3125507,8568708.48
3159001,8570079.0
2209708,8572109.97
2801900,8572758.07
5202601,8573910.4
2504355,8574944.23
4316428,8580304.2
5205059,8580680.32
3128501,8580686.21
3158607,8584020.89
4301925,8584951.61
2104701,8588217.67
2408508,8593002.89
3139102,8595513.75
5219605,8597022.97
4115507,8597124.89
4202537,8598434.9
3150208,8599914.46
2504504,8601867.71
2411106,8603856.83
3153202,8604052.62
4310850,8606850.51999999
2407609,8609836.57
4317558,8614182.47
3100807,8614487.43
2513505,8621437.21
3549003,8621667.25
3143807,8621750.26
3159100,8623295.92
3127404,8624639.96
3503356,8625871.17
4308854,8629726.12
3122470,8630305.39
4201653,8632634.0
3116001,8632852.62
2805000,8641117.05
1700301,8642014.36
3169802,8644078.31
3527256,8644211.76999999
2101806,8644823.26999999
4213906,8647601.71
3553658,8648886.59
3167707,8649477.6
3149606,8650392.43
4323754,8652922.18
4312443,8653567.64
3135076,8654882.83
4300471,8656572.4
3119807,8658134.47
3171501,8658438.29
2404002,8661062.43
3120839,8671402.03
3106655,8677862.35
2210300,8678271.56
2111573,8678392.9
4102208,8681824.63
2509503,8684113.17
4308433,8685079.12
3153004,8685124.81
4114351,8686407.1
4218855,8690163.15
4119657,8690794.68999999
4122172,8695266.31
4107124,8698238.6
2402808,8702928.88
4106555,8704736.43999999
2202117,8714260.42
2413201,8715347.61
2205573,8718817.76999999
4212601,8720961.21
3514205,8725309.0
4210852,8731468.76
3532843,8734874.91
3117405,8735279.73
2515906,8740135.66
2414753,8743741.76999999
3150406,8744886.06
4312955,8745704.13
4310462,8745965.42
3167806,8746052.75
2410702,8746373.86
4319711,8749690.13
3528908,8749746.14
4124301,8749897.93999999
3146206,8762792.61
2513653,8764017.68999999
4212056,8766981.64
1713601,8771659.48
2201739,8772199.72
2201919,8772317.25
3109600,8773342.61
5207501,8773662.97
2401651,8774153.01
3501509,8782459.51999999
4310413,8786170.51
4212403,8786772.36
5202353,8796647.7
5206909,8796857.0
4210209,8796956.57
2110807,8797686.32
3122702,8799001.6
3164100,8800101.79
3157302,8804660.67
2500205,8805656.47
4306700,8806971.22
5103809,8808248.76
2204808,8812026.82
5107743,8815538.0
3121506,8819367.54
4215356,8819608.14
2501708,8819656.22
3161502,8822143.53
4305157,8826649.0
5216007,8829183.4
4315131,8829800.07
3102050,8830045.25
1703800,8834060.39
3515806,8834791.93
5100102,8834835.15
4103404,8835650.43
3110202,8842197.54
3162575,8846781.88
3543238,8846834.09
3127057,8848470.09
2402402,8850109.96
3551207,8851398.0
4216354,8852042.85
3113107,8854916.65
5206602,8855272.0
4219408,8857088.04
2203008,8858604.0
1702307,8860292.09
3166006,8860855.7
3155009,8862235.15
1707652,8868766.71
2502904,8870272.74
3542800,8871683.54
4217550,8872787.43999999
3158102,8875627.03
4314456,8880897.86
2400604,8887124.37
2800100,8888617.68
2204550,8892177.14
2919009,8892439.93999999
2804706,8892692.23
2504033,8893351.35
2209203,8893568.22
4318051,8894415.53
1707108,8894561.39
3536257,8895222.59
4120200,8895298.81
4323358,8895766.26
3122108,8897492.86
2513307,8898335.48
4321469,8907258.61
3155306,8910179.22
4101655,8911942.28
2911253,8912429.74
3130556,8913241.11
3140605,8916244.29
3501400,8916492.05
4321626,8923683.72
4210555,8925835.06
3138500,8926082.16
2508109,8926581.37
2510402,8926726.7
3116407,8931536.08
2501203,8932538.51999999
2510204,8933584.62
5205208,8936217.74
4304622,8936548.72
4121356,8938602.03
3124401,8944602.79
3529658,8952514.93999999
4320453,8954082.0
2513604,8956032.2
2403301,8958484.01999999
4302154,8961675.95
4301073,8963643.63
3171907,8966410.63
3170651,8972832.29
1710706,8974900.34
2106201,8975010.72
1600055,8975446.89
2512721,8977213.17
3163508,8978738.43
4300554,8979590.99
2807303,8983438.85
4302600,8985971.18999999
4209201,8988196.01
1701903,8990336.51
2502003,8995416.33
3141207,8997810.46
2202778,9000096.87
2410801,9000756.99
4211256,9003978.62
3169109,9004663.79
2107258,9005386.97
3142304,9005481.18999999
3153103,9005665.48
3142254,9007108.83
3111150,9007694.61
4301552,9007990.2
5106190,9010268.34
3555208,9021525.67
3164407,9027939.16
2414456,9031141.84
3150539,9032507.18
3107703,9034135.83
2204204,9035462.93999999
3157278,9039518.38
2802601,9043625.11
2405405,9046328.2
4314555,9049747.42
3159506,9051495.05
3141702,9051573.25
2104628,9055927.05
3146701,9057270.22
3144409,9058322.78
4200556,9059844.36
2109056,9062444.74
3166956,9064457.96
1507466,9064535.43
1716703,9065008.75
2413706,9066280.45
