IDHM 2010,CodMunIBGE
0.583,2205102
0.535,2205151
0.524,2205201
0.593,2205250
0.566,2205276
0.591,2205300
0.561,2205359
0.522,2205409
0.504,2205458
0.618,2205508
0.57,2205516
0.582,2205524
0.555,2205532
0.597,2205540
0.55,2205557
0.502,2205565
0.529,2205573
0.583,2205581
0.541,2205599
0.584,2205607
0.541,2205706
0.545,2205805
0.563,2205854
0.573,2205904
0.562,2205953
0.59,2206001
0.525,2206050
0.562,2206100
0.539,2206209
0.623,2206308
0.508,2206357
0.615,2206407
0.561,2206506
0.578,2206605
0.542,2206654
0.55,2206670
0.53,2206696
0.576,2206704
0.586,2206753
0.533,2206803
0.562,2206902
0.528,2206951
0.634,2207009
0.576,2207108
0.541,2207207
0.575,2207306
0.559,2207355
0.557,2207405
0.562,2207504
0.509,2207553
0.575,2207603
0.687,2207702
0.561,2207751
0.563,2207777
0.514,2207793
0.6,2207801
0.526,2207850
0.571,2207900
0.562,2207934
0.554,2207959
0.698,2208007
0.566,2208106
0.564,2208205
0.596,2208304
0.635,2208403
0.549,2208502
0.563,2208551
0.565,2208601
0.515,2208650
0.589,2208700
0.591,2208809
0.541,2208858
0.52,2208874
0.601,2208908
0.572,2209005
0.601,2209104
0.577,2209153
0.544,2209203
0.588,2209302
0.574,2209351
0.567,2209377
0.584,2209401
0.619,2209450
0.613,2209500
0.596,2209559
0.61,2209609
0.485,2209658
0.57,2209708
0.56,2209757
0.616,2209807
0.559,2209856
0.515,2209872
0.582,2209906
0.559,2209955
0.523,2209971
0.645,2210003
0.565,2210052
0.573,2210102
0.552,2210201
0.594,2210300
0.595,2210359
0.554,2210375
0.563,2210383
0.535,2210391
0.556,2210409
0.595,2210508
0.661,2210607
0.536,2210623
0.562,2210631
0.581,2210656
0.575,2210706
0.627,2210805
0.561,2210904
0.586,2210938
0.501,2210953
0.579,2210979
0.751,2211001
0.577,2211100
0.631,2211209
0.647,2211308
0.553,2211357
0.571,2211407
0.503,2211506
0.565,2211605
0.544,2211704
0.628,2300101
0.606,2300150
0.601,2300200
0.595,2300309
0.569,2300408
0.6,2300507
0.602,2300606
0.601,2300705
0.606,2300754
0.599,2300804
0.618,2300903
0.641,2301000
