CodMunIBGE,Habitantes 2010
2807006,3698
354550,3699
354550,3699
354550,3699
3545506,3699
2210102,3700
280700,3702
430260,3702
280700,3702
430260,3702
3504701,3702
4302600,3702
520310,3714
520310,3714
520310,3714
5203104,3714
251100,3721
251100,3721
2511004,3721
4205100,3721
4300059,3722
420510,3723
420510,3723
1712405,3725
3119906,3730
171240,3731
3171402,3731
311990,3732
317140,3732
311990,3732
317140,3732
311990,3732
317140,3732
3144672,3732
291890,3733
291890,3733
520735,3733
2918902,3733
5207352,3733
350240,3738
350240,3738
350240,3738
3502408,3738
510627,3746
2806503,3749
5106273,3749
2512036,3751
280650,3752
280650,3752
312500,3752
280650,3752
312500,3752
3125002,3753
5107792,3754
1703867,3756
2207793,3757
5220264,3757
5108303,3760
522026,3761
3141207,3761
1715101,3762
314120,3763
314120,3763
314120,3763
4204350,3767
1703305,3768
1718501,3768
4311981,3768
171500,3770
1715002,3770
220460,3771
220460,3771
2204600,3771
2201556,3778
520160,3785
520160,3785
31AMC6097176,3786
3144904,3790
316830,3792
316830,3792
314490,3793
314490,3793
1600550,3793
3106804,3793
2209153,3794
3168309,3794
310680,3796
310680,3796
4103156,3796
5103809,3796
5201603,3802
4120853,3803
4123105,3803
5201504,3803
412310,3804
412310,3804
412310,3804
510380,3805
1707553,3805
2202737,3811
280190,3813
280190,3813
280190,3813
2801900,3813
350090,3814
350090,3814
350090,3814
3122470,3814
3500907,3815
3535903,3815
4115739,3818
2414753,3821
315910,3822
315910,3822
3159100,3822
315470,3826
315470,3826
315470,3826
3154705,3826
4125456,3830
412545,3831
411640,3834
411640,3834
3163300,3834
4116406,3836
316330,3837
316330,3837
521810,3839
521810,3839
5218102,3839
314190,3840
314190,3840
314190,3840
3141900,3840
521410,3842
521410,3842
432060,3842
521410,3842
4320602,3842
312170,3848
312170,3848
3121704,3848
5214101,3849
2201988,3850
352960,3851
352960,3851
352960,3851
2201176,3852
315860,3854
251220,3854
312720,3854
315860,3854
251220,3854
312720,3854
315860,3854
2512200,3854
3127206,3855
3529609,3855
4313391,3855
4314779,3857
2408706,3859
3158607,3860
240870,3862
240870,3862
2205581,3863
1718808,3864
4312153,3865
291020,3873
291020,3873
3542305,3873
351270,3874
241190,3874
351270,3874
241190,3874
351270,3874
2411908,3874
2910206,3874
3512704,3874
3148905,3875
314890,3878
314890,3878
2202455,3878
354230,3879
354230,3879
354230,3879
354230,3879
354230,3879
3522653,3880
310760,3882
310760,3882
353400,3884
353400,3884
3534005,3884
410900,3886
410900,3886
3107604,3887
4304671,3890
350080,3891
350080,3891
350080,3891
3500808,3891
4109005,3891
3501202,3897
4122172,3898
2504074,3899
350120,3901
291870,3901
350120,3901
291870,3901
350120,3901
2918704,3901
510775,3903
3520707,3903
2411700,3905
352070,3906
352070,3906
352070,3906
315320,3907
315320,3907
3153202,3908
4117214,3908
5107750,3908
241170,3909
241170,3909
241170,3909
313450,3913
313450,3913
410220,3913
313450,3913
410220,3913
3134509,3913
4102208,3913
352890,3916
352890,3916
352890,3916
3528908,3916
430595,3917
4305959,3917
432225,3919
3100401,3920
2202251,3921
241320,3924
310040,3924
241320,3924
310040,3924
2413201,3924
4322251,3924
4123824,3925
4313425,3925
4107538,3926
3128501,3929
291900,3930
291900,3930
350470,3932
312850,3932
350470,3932
312850,3932
350470,3932
312070,3934
312070,3934
3120706,3934
2919009,3936
3135308,3939
2508554,3942
4102752,3945
280110,3947
280110,3947
3114600,3948
313530,3950
313530,3950
2401503,3950
3169059,3950
4128658,3950
311460,3952
240860,3952
311460,3952
240860,3952
311460,3952
2408607,3952
521525,3953
3115201,3954
412130,3955
412130,3955
4121307,3955
2801108,3956
5215256,3956
240150,3957
240150,3957
311520,3961
311520,3961
4215356,3961
3152131,3966
3157609,3968
4309159,3970
431430,3973
431430,3973
4113429,3973
4314308,3973
2512077,3978
4313490,3978
315760,3979
315760,3979
51AMC7097009,3982
51AMC9197012,3982
4110003,3982
2514800,3985
521960,3991
521960,3991
3109253,3992
5219605,3995
316320,3996
316320,3996
316320,3996
3163201,3996
354620,3998
354620,3998
354620,3998
4312807,4001
3546207,4002
4106555,4002
431280,4003
410655,4003
431280,4003
251470,4010
251470,4010
2514701,4010
5005103,4011
3140308,4012
4301875,4012
500510,4017
500510,4017
250870,4019
250870,4019
2508703,4019
412030,4020
412030,4020
2105658,4020
4120309,4020
314030,4021
314030,4021
314030,4021
315900,4023
315900,4023
3159001,4023
520980,4029
520980,4029
520980,4029
5209804,4029
5215405,4034
521540,4040
521540,4040
420860,4041
420860,4041
4208609,4041
4305405,4044
4210902,4045
311020,4047
311020,4047
3110202,4047
310080,4049
310080,4049
35AMC6097092,4050
35AMC7097061,4050
35AMC9197060,4050
3508207,4053
3100807,4054
350820,4055
350820,4055
350820,4055
2207306,4059
3162658,4060
430995,4061
4309951,4061
3150208,4062
353160,4063
315020,4063
353160,4063
315020,4063
353160,4063
3531605,4063
2206654,4068
4312054,4068
5108204,4071
350890,4072
350890,4072
350890,4072
3508900,4072
3540259,4074
314960,4075
316300,4075
314960,4075
316300,4075
3163003,4075
316790,4076
316790,4076
316790,4076
3149606,4076
