CodMunIBGE,PIB 2010 (R$),VALUE
2205516,22211.413,22211413.0
3144904,22223.673,22223673.0
3152131,22261.816,22261816.0
2301802,22268.136,22268136.0
2112274,22281.633,22281633.0
4211876,22301.718,22301718.0
4304614,22345.315,22345315.0
3157609,22377.922,22377922.0
1711100,22390.495,22390495.0
2203354,22408.035,22408035.0
1717800,22415.613,22415613.0
3100401,22440.227,22440227.0
2209906,22488.114,22488114.0
3157377,22490.04,22490040.0
3542800,22493.244,22493244.0
2502300,22572.059,22572059.0
3168200,22575.436,22575436.0
2406809,22636.822,22636822.0
3503158,22642.913,22642913.0
2201051,22660.087,22660087.0
1720101,22707.855,22707855.0
3532843,22721.274,22721274.0
4209458,22752.25,22752250.0
3514205,22752.858,22752858.0
4301859,22754.941,22754941.0
5210158,22763.376,22763376.0
3104452,22795.234,22795234.0
3136579,22824.535,22824535.0
5206800,22839.485,22839485.0
3138302,22840.564,22840564.0
2410504,22841.99,22841990.0
3127073,22844.612,22844612.0
5214879,22847.796,22847796.0
2919009,22862.491,22862491.0
1715002,22874.496,22874496.0
3145372,22906.654,22906654.0
1717206,22919.794,22919794.0
1718899,22945.922,22945922.0
3139250,22994.983,22994983.0
3121902,23020.856,23020856.0
4123600,23038.494,23038494.0
4306353,23040.781,23040781.0
3544707,23066.13,23066130.0
3554607,23067.992,23067992.0
2200905,23124.806,23124806.0
1507466,23155.053,23155053.0
3503505,23168.753,23168753.0
3157658,23218.11,23218110.0
2200459,23226.552,23226552.0
3163003,23259.216,23259216.0
3138351,23275.642,23275642.0
3170602,23316.725,23316725.0
2205151,23318.597,23318597.0
2515708,23321.094,23321094.0
2409506,23324.779,23324779.0
3153103,23329.514,23329514.0
3515657,23330.13,23330130.0
2300606,23341.892,23341892.0
2910909,23366.25,23366250.0
3140407,23366.65,23366650.0
3140209,23369.504,23369504.0
2413706,23376.859,23376859.0
3115904,23414.071,23414071.0
3158102,23418.676,23418676.0
2413300,23481.5,23481500.0
