CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,VALUE (Habitante)
POPTOT,2010-01-01T00:00:00-02:00,3118502,2010,Municípios,1727.0
POPTOT,2010-01-01T00:00:00-02:00,3556958,2010,Municípios,1737.0
POPTOT,2010-01-01T00:00:00-02:00,1720853,2010,Municípios,1742.0
POPTOT,2010-01-01T00:00:00-02:00,4314787,2010,Municípios,1750.0
POPTOT,2010-01-01T00:00:00-02:00,351580,2010,AMC 60-00,1752.0
POPTOT,2010-01-01T00:00:00-02:00,351580,2010,AMC 70-00,1752.0
POPTOT,2010-01-01T00:00:00-02:00,351580,2010,AMC 91-00,1752.0
POPTOT,2010-01-01T00:00:00-02:00,3515806,2010,Municípios,1752.0
POPTOT,2010-01-01T00:00:00-02:00,4304622,2010,Municípios,1754.0
POPTOT,2010-01-01T00:00:00-02:00,4217956,2010,Municípios,1757.0
POPTOT,2010-01-01T00:00:00-02:00,4313466,2010,Municípios,1757.0
POPTOT,2010-01-01T00:00:00-02:00,521340,2010,AMC 60-00,1763.0
POPTOT,2010-01-01T00:00:00-02:00,521340,2010,AMC 70-00,1763.0
POPTOT,2010-01-01T00:00:00-02:00,521340,2010,AMC 91-00,1763.0
POPTOT,2010-01-01T00:00:00-02:00,4211876,2010,Municípios,1763.0
POPTOT,2010-01-01T00:00:00-02:00,5213400,2010,Municípios,1763.0
POPTOT,2010-01-01T00:00:00-02:00,314750,2010,AMC 70-00,1766.0
POPTOT,2010-01-01T00:00:00-02:00,314750,2010,AMC 91-00,1766.0
POPTOT,2010-01-01T00:00:00-02:00,3147501,2010,Municípios,1766.0
POPTOT,2010-01-01T00:00:00-02:00,4208955,2010,Municípios,1766.0
POPTOT,2010-01-01T00:00:00-02:00,5106703,2010,Municípios,1768.0
POPTOT,2010-01-01T00:00:00-02:00,2504850,2010,Municípios,1771.0
POPTOT,2010-01-01T00:00:00-02:00,4315313,2010,Municípios,1775.0
POPTOT,2010-01-01T00:00:00-02:00,316050,2010,AMC 70-00,1777.0
POPTOT,2010-01-01T00:00:00-02:00,316050,2010,AMC 91-00,1777.0
POPTOT,2010-01-01T00:00:00-02:00,3160504,2010,Municípios,1777.0
POPTOT,2010-01-01T00:00:00-02:00,3536570,2010,Municípios,1779.0
POPTOT,2010-01-01T00:00:00-02:00,3549250,2010,Municípios,1780.0
POPTOT,2010-01-01T00:00:00-02:00,3149408,2010,Municípios,1785.0
POPTOT,2010-01-01T00:00:00-02:00,314940,2010,AMC 70-00,1789.0
POPTOT,2010-01-01T00:00:00-02:00,314940,2010,AMC 91-00,1789.0
POPTOT,2010-01-01T00:00:00-02:00,3166402,2010,Municípios,1789.0
POPTOT,2010-01-01T00:00:00-02:00,316640,2010,AMC 70-00,1790.0
POPTOT,2010-01-01T00:00:00-02:00,316640,2010,AMC 91-00,1790.0
POPTOT,2010-01-01T00:00:00-02:00,4312179,2010,Municípios,1799.0
POPTOT,2010-01-01T00:00:00-02:00,4304614,2010,Municípios,1807.0
POPTOT,2010-01-01T00:00:00-02:00,3503950,2010,Municípios,1809.0
POPTOT,2010-01-01T00:00:00-02:00,4312625,2010,Municípios,1813.0
POPTOT,2010-01-01T00:00:00-02:00,412360,2010,AMC 70-00,1818.0
POPTOT,2010-01-01T00:00:00-02:00,412360,2010,AMC 91-00,1818.0
POPTOT,2010-01-01T00:00:00-02:00,4123600,2010,Municípios,1818.0
POPTOT,2010-01-01T00:00:00-02:00,4210050,2010,Municípios,1826.0
POPTOT,2010-01-01T00:00:00-02:00,312350,2010,AMC 70-00,1841.0
POPTOT,2010-01-01T00:00:00-02:00,312350,2010,AMC 91-00,1841.0
POPTOT,2010-01-01T00:00:00-02:00,3123502,2010,Municípios,1841.0
POPTOT,2010-01-01T00:00:00-02:00,430055,2010,AMC 91-00,1848.0
POPTOT,2010-01-01T00:00:00-02:00,4300554,2010,Municípios,1848.0
POPTOT,2010-01-01T00:00:00-02:00,4315073,2010,Municípios,1852.0
POPTOT,2010-01-01T00:00:00-02:00,3153806,2010,Municípios,1861.0
POPTOT,2010-01-01T00:00:00-02:00,4116000,2010,Municípios,1862.0
POPTOT,2010-01-01T00:00:00-02:00,315380,2010,AMC 70-00,1866.0
POPTOT,2010-01-01T00:00:00-02:00,315380,2010,AMC 91-00,1866.0
POPTOT,2010-01-01T00:00:00-02:00,316580,2010,AMC 70-00,1868.0
POPTOT,2010-01-01T00:00:00-02:00,316580,2010,AMC 91-00,1868.0
POPTOT,2010-01-01T00:00:00-02:00,3165800,2010,Municípios,1868.0
POPTOT,2010-01-01T00:00:00-02:00,316820,2010,AMC 60-00,1873.0
POPTOT,2010-01-01T00:00:00-02:00,316820,2010,AMC 70-00,1873.0
POPTOT,2010-01-01T00:00:00-02:00,316820,2010,AMC 91-00,1873.0
POPTOT,2010-01-01T00:00:00-02:00,3168200,2010,Municípios,1873.0
POPTOT,2010-01-01T00:00:00-02:00,431513,2010,AMC 91-00,1875.0
POPTOT,2010-01-01T00:00:00-02:00,4315131,2010,Municípios,1875.0
POPTOT,2010-01-01T00:00:00-02:00,4202099,2010,Municípios,1878.0
POPTOT,2010-01-01T00:00:00-02:00,4204756,2010,Municípios,1882.0
POPTOT,2010-01-01T00:00:00-02:00,3529658,2010,Municípios,1886.0
POPTOT,2010-01-01T00:00:00-02:00,4319364,2010,Municípios,1886.0
