CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,VALUE (R$)
RECORRM,2010-01-01T00:00:00-02:00,1717008,2010,Municípios,7273426.71
RECORRM,2010-01-01T00:00:00-02:00,2414902,2010,Municípios,7282365.81
RECORRM,2010-01-01T00:00:00-02:00,4312625,2010,Municípios,7283391.68
RECORRM,2010-01-01T00:00:00-02:00,2203750,2010,Municípios,7287575.77
RECORRM,2010-01-01T00:00:00-02:00,4115739,2010,Municípios,7289477.34
RECORRM,2010-01-01T00:00:00-02:00,3125200,2010,Municípios,7290174.44
RECORRM,2010-01-01T00:00:00-02:00,2201002,2010,Municípios,7301626.19
RECORRM,2010-01-01T00:00:00-02:00,2514008,2010,Municípios,7305978.21
RECORRM,2010-01-01T00:00:00-02:00,3554656,2010,Municípios,7307033.39
RECORRM,2010-01-01T00:00:00-02:00,3158706,2010,Municípios,7309893.68
RECORRM,2010-01-01T00:00:00-02:00,3110400,2010,Municípios,7315954.99
RECORRM,2010-01-01T00:00:00-02:00,3114907,2010,Municípios,7321912.91
RECORRM,2010-01-01T00:00:00-02:00,4215695,2010,Municípios,7327250.7
RECORRM,2010-01-01T00:00:00-02:00,5203609,2010,Municípios,7335784.55
RECORRM,2010-01-01T00:00:00-02:00,3123403,2010,Municípios,7336670.3
RECORRM,2010-01-01T00:00:00-02:00,4320578,2010,Municípios,7336967.12
RECORRM,2010-01-01T00:00:00-02:00,5105309,2010,Municípios,7336993.81
RECORRM,2010-01-01T00:00:00-02:00,5214879,2010,Municípios,7352747.9
RECORRM,2010-01-01T00:00:00-02:00,3547650,2010,Municípios,7358416.04
RECORRM,2010-01-01T00:00:00-02:00,2512200,2010,Municípios,7361192.61
RECORRM,2010-01-01T00:00:00-02:00,2210904,2010,Municípios,7370602.77
RECORRM,2010-01-01T00:00:00-02:00,5206701,2010,Municípios,7370964.71
RECORRM,2010-01-01T00:00:00-02:00,3103207,2010,Municípios,7372689.89
RECORRM,2010-01-01T00:00:00-02:00,3140407,2010,Municípios,7374826.82
RECORRM,2010-01-01T00:00:00-02:00,4217154,2010,Municípios,7377869.86
RECORRM,2010-01-01T00:00:00-02:00,3137908,2010,Municípios,7381792.66
RECORRM,2010-01-01T00:00:00-02:00,2513984,2010,Municípios,7381923.0
RECORRM,2010-01-01T00:00:00-02:00,2204352,2010,Municípios,7382063.05
RECORRM,2010-01-01T00:00:00-02:00,3153806,2010,Municípios,7382368.83
RECORRM,2010-01-01T00:00:00-02:00,3507209,2010,Municípios,7391118.0
RECORRM,2010-01-01T00:00:00-02:00,4202099,2010,Municípios,7394282.88
RECORRM,2010-01-01T00:00:00-02:00,3167301,2010,Municípios,7395130.01
RECORRM,2010-01-01T00:00:00-02:00,3147808,2010,Municípios,7395368.18
RECORRM,2010-01-01T00:00:00-02:00,4208955,2010,Municípios,7395456.51
RECORRM,2010-01-01T00:00:00-02:00,2202091,2010,Municípios,7400982.61
RECORRM,2010-01-01T00:00:00-02:00,4102752,2010,Municípios,7403549.8
RECORRM,2010-01-01T00:00:00-02:00,5107156,2010,Municípios,7410017.7
RECORRM,2010-01-01T00:00:00-02:00,3547205,2010,Municípios,7414134.96
RECORRM,2010-01-01T00:00:00-02:00,3148806,2010,Municípios,7415620.15
RECORRM,2010-01-01T00:00:00-02:00,4217956,2010,Municípios,7420100.13
RECORRM,2010-01-01T00:00:00-02:00,4309258,2010,Municípios,7422333.01
RECORRM,2010-01-01T00:00:00-02:00,1720655,2010,Municípios,7432240.06
RECORRM,2010-01-01T00:00:00-02:00,3106804,2010,Municípios,7434037.9
RECORRM,2010-01-01T00:00:00-02:00,5220702,2010,Municípios,7434538.17
RECORRM,2010-01-01T00:00:00-02:00,5107404,2010,Municípios,7438078.09
RECORRM,2010-01-01T00:00:00-02:00,4315313,2010,Municípios,7440344.01
RECORRM,2010-01-01T00:00:00-02:00,2513000,2010,Municípios,7442968.05
RECORRM,2010-01-01T00:00:00-02:00,2514552,2010,Municípios,7443016.58
RECORRM,2010-01-01T00:00:00-02:00,2209559,2010,Municípios,7445659.0
RECORRM,2010-01-01T00:00:00-02:00,3504701,2010,Municípios,7452640.04
RECORRM,2010-01-01T00:00:00-02:00,2205599,2010,Municípios,7455791.31
RECORRM,2010-01-01T00:00:00-02:00,3119906,2010,Municípios,7460896.59
RECORRM,2010-01-01T00:00:00-02:00,4317251,2010,Municípios,7473533.24
RECORRM,2010-01-01T00:00:00-02:00,2201945,2010,Municípios,7476377.76
RECORRM,2010-01-01T00:00:00-02:00,3124609,2010,Municípios,7477660.74
RECORRM,2010-01-01T00:00:00-02:00,3145406,2010,Municípios,7482039.31
RECORRM,2010-01-01T00:00:00-02:00,2202851,2010,Municípios,7482273.7
RECORRM,2010-01-01T00:00:00-02:00,3130804,2010,Municípios,7483008.17
RECORRM,2010-01-01T00:00:00-02:00,4306072,2010,Municípios,7485465.35
RECORRM,2010-01-01T00:00:00-02:00,2207959,2010,Municípios,7502509.26
RECORRM,2010-01-01T00:00:00-02:00,4304614,2010,Municípios,7508459.9
RECORRM,2010-01-01T00:00:00-02:00,2407906,2010,Municípios,7516254.82
RECORRM,2010-01-01T00:00:00-02:00,1706506,2010,Municípios,7520271.94
RECORRM,2010-01-01T00:00:00-02:00,3142502,2010,Municípios,7521437.0
RECORRM,2010-01-01T00:00:00-02:00,4315073,2010,Municípios,7523009.81
RECORRM,2010-01-01T00:00:00-02:00,2203255,2010,Municípios,7524924.48
RECORRM,2010-01-01T00:00:00-02:00,2516755,2010,Municípios,7525359.07
RECORRM,2010-01-01T00:00:00-02:00,1716307,2010,Municípios,7526280.45
RECORRM,2010-01-01T00:00:00-02:00,5212600,2010,Municípios,7526418.51
RECORRM,2010-01-01T00:00:00-02:00,4211892,2010,Municípios,7526708.09
RECORRM,2010-01-01T00:00:00-02:00,3162302,2010,Municípios,7528462.58
RECORRM,2010-01-01T00:00:00-02:00,2209005,2010,Municípios,7533107.73
RECORRM,2010-01-01T00:00:00-02:00,5221080,2010,Municípios,7538781.39
RECORRM,2010-01-01T00:00:00-02:00,5210307,2010,Municípios,7551891.59
RECORRM,2010-01-01T00:00:00-02:00,4116604,2010,Municípios,7561456.14
RECORRM,2010-01-01T00:00:00-02:00,5220280,2010,Municípios,7563226.08
RECORRM,2010-01-01T00:00:00-02:00,2512747,2010,Municípios,7571256.7
RECORRM,2010-01-01T00:00:00-02:00,4202578,2010,Municípios,7571646.39
RECORRM,2010-01-01T00:00:00-02:00,3115201,2010,Municípios,7572060.37
RECORRM,2010-01-01T00:00:00-02:00,2406908,2010,Municípios,7572182.94
RECORRM,2010-01-01T00:00:00-02:00,2205565,2010,Municípios,7576701.34
RECORRM,2010-01-01T00:00:00-02:00,2514701,2010,Municípios,7577315.81
RECORRM,2010-01-01T00:00:00-02:00,3102209,2010,Municípios,7578619.45
RECORRM,2010-01-01T00:00:00-02:00,2210052,2010,Municípios,7580874.88
RECORRM,2010-01-01T00:00:00-02:00,2509602,2010,Municípios,7582178.22
RECORRM,2010-01-01T00:00:00-02:00,4205357,2010,Municípios,7582231.57
RECORRM,2010-01-01T00:00:00-02:00,4302378,2010,Municípios,7586770.04
RECORRM,2010-01-01T00:00:00-02:00,2502201,2010,Municípios,7589297.44
RECORRM,2010-01-01T00:00:00-02:00,3126950,2010,Municípios,7591223.49
RECORRM,2010-01-01T00:00:00-02:00,2508554,2010,Municípios,7591811.57
RECORRM,2010-01-01T00:00:00-02:00,1703057,2010,Municípios,7594083.09
RECORRM,2010-01-01T00:00:00-02:00,2503407,2010,Municípios,7595457.51
RECORRM,2010-01-01T00:00:00-02:00,1707306,2010,Municípios,7599422.45
RECORRM,2010-01-01T00:00:00-02:00,2503753,2010,Municípios,7601964.89
RECORRM,2010-01-01T00:00:00-02:00,5219456,2010,Municípios,7602804.0
RECORRM,2010-01-01T00:00:00-02:00,4302055,2010,Municípios,7603951.98
RECORRM,2010-01-01T00:00:00-02:00,4211876,2010,Municípios,7621278.19
RECORRM,2010-01-01T00:00:00-02:00,2209658,2010,Municípios,7623801.97
RECORRM,2010-01-01T00:00:00-02:00,1718907,2010,Municípios,7635926.4
RECORRM,2010-01-01T00:00:00-02:00,3114808,2010,Municípios,7637872.94
