NAME,ID,LEVEL,AREA,CAPITAL
Sengés,412630,AMC 91-00,1374.3,False
Sengés,412630,AMC 60-00,1374.3,
Sengés,412630,AMC 70-00,1374.3,False
Sengés,4126306,Municípios,1374.3,False
Serranópolis do Iguaçu,4126355,Municípios,483.9,False
Sertaneja,412640,AMC 70-00,441.2,False
Sertaneja,412640,AMC 60-00,441.2,
Sertaneja,412640,AMC 91-00,441.2,False
Sertaneja,4126405,Municípios,441.2,False
Sertanópolis,412650,AMC 91-00,513.3,False
Sertanópolis,412650,AMC 60-00,513.3,
Sertanópolis,412650,AMC 70-00,513.3,False
Sertanópolis,4126504,Municípios,513.3,False
Siqueira Campos,412660,AMC 70-00,276.1,False
Siqueira Campos,412660,AMC 91-00,276.1,False
Siqueira Campos,4126603,Municípios,276.1,False
Sulina,412665,AMC 91-00,168.1,False
Sulina,4126652,Municípios,168.1,False
Tamarana,4126678,Municípios,409.0,False
Tamboara,412670,AMC 91-00,194.2,False
Tamboara,412670,AMC 60-00,194.2,
Tamboara,412670,AMC 70-00,194.2,False
Tamboara,4126702,Municípios,194.2,False
Tapejara,412680,AMC 70-00,596.2,False
Tapejara,412680,AMC 91-00,596.2,False
Tapejara,4126801,Municípios,596.2,False
Tapira,412690,AMC 91-00,436.3,False
Tapira,412690,AMC 70-00,436.3,False
Tapira,4126900,Municípios,436.3,False
Teixeira Soares,4127007,Municípios,893.7,False
Telêmaco Borba,4127106,Municípios,1386.8,False
Terra Boa,412720,AMC 70-00,316.0,False
Terra Boa,412720,AMC 91-00,316.0,False
Terra Boa,412720,AMC 60-00,316.0,
Terra Boa,4127205,Municípios,316.0,False
Terra Rica,412730,AMC 60-00,703.3,
Terra Rica,412730,AMC 91-00,703.3,False
Terra Rica,412730,AMC 70-00,703.3,False
Terra Rica,4127304,Municípios,703.3,False
Terra Roxa,412740,AMC 91-00,845.3,False
Terra Roxa,4127403,Municípios,845.3,False
Tibagi,4127502,Municípios,2995.6,False
Tijucas do Sul,412760,AMC 91-00,666.9,False
Tijucas do Sul,412760,AMC 70-00,666.9,False
Tijucas do Sul,4127601,Municípios,666.9,False
Toledo,4127700,Municípios,1202.5,False
Tomazina,412780,AMC 70-00,591.4,False
Tomazina,412780,AMC 91-00,591.4,False
Tomazina,412780,AMC 60-00,591.4,
