code,date,value,uname,tcode
ADH_IDHM,14610.0,0.625,Municipality,1200336
ADH_IDHM,7670.0,0.218,Municipality,1200344
ADH_IDHM,10957.0,0.395,Municipality,1200344
ADH_IDHM,14610.0,0.551,Municipality,1200344
ADH_IDHM,7670.0,0.186,Municipality,1200351
ADH_IDHM,10957.0,0.301,Municipality,1200351
ADH_IDHM,14610.0,0.501,Municipality,1200351
ADH_IDHM,7670.0,0.265,Municipality,1200385
ADH_IDHM,10957.0,0.464,Municipality,1200385
ADH_IDHM,14610.0,0.622,Municipality,1200385
ADH_IDHM,7670.0,0.176,Municipality,1200393
ADH_IDHM,10957.0,0.342,Municipality,1200393
ADH_IDHM,14610.0,0.532,Municipality,1200393
ADH_IDHM,7670.0,0.485,Municipality,1200401
ADH_IDHM,10957.0,0.591,Municipality,1200401
ADH_IDHM,14610.0,0.727,Municipality,1200401
ADH_IDHM,7670.0,0.245,Municipality,1200427
ADH_IDHM,10957.0,0.399,Municipality,1200427
ADH_IDHM,14610.0,0.567,Municipality,1200427
ADH_IDHM,7670.0,0.167,Municipality,1200435
ADH_IDHM,10957.0,0.277,Municipality,1200435
ADH_IDHM,14610.0,0.517,Municipality,1200435
ADH_IDHM,7670.0,0.354,Municipality,1200450
ADH_IDHM,10957.0,0.488,Municipality,1200450
ADH_IDHM,14610.0,0.64,Municipality,1200450
ADH_IDHM,7670.0,0.317,Municipality,1200500
ADH_IDHM,10957.0,0.451,Municipality,1200500
ADH_IDHM,14610.0,0.603,Municipality,1200500
ADH_IDHM,7670.0,0.274,Municipality,1200609
ADH_IDHM,10957.0,0.386,Municipality,1200609
ADH_IDHM,14610.0,0.539,Municipality,1200609
ADH_IDHM,7670.0,0.348,Municipality,1200708
ADH_IDHM,10957.0,0.445,Municipality,1200708
ADH_IDHM,14610.0,0.599,Municipality,1200708
ADH_IDHM,7670.0,0.259,Municipality,1200807
ADH_IDHM,10957.0,0.443,Municipality,1200807
ADH_IDHM,14610.0,0.576,Municipality,1200807
ADH_IDHM,7670.0,0.306,Municipality,1300029
ADH_IDHM,10957.0,0.373,Municipality,1300029
ADH_IDHM,14610.0,0.527,Municipality,1300029
ADH_IDHM,7670.0,0.254,Municipality,1300060
ADH_IDHM,10957.0,0.413,Municipality,1300060
ADH_IDHM,14610.0,0.56,Municipality,1300060
ADH_IDHM,7670.0,0.307,Municipality,1300086
ADH_IDHM,10957.0,0.408,Municipality,1300086
ADH_IDHM,14610.0,0.594,Municipality,1300086
ADH_IDHM,7670.0,0.357,Municipality,1300102
ADH_IDHM,10957.0,0.428,Municipality,1300102
ADH_IDHM,14610.0,0.561,Municipality,1300102
ADH_IDHM,7670.0,0.322,Municipality,1300144
ADH_IDHM,10957.0,0.437,Municipality,1300144
ADH_IDHM,14610.0,0.637,Municipality,1300144
ADH_IDHM,7670.0,0.246,Municipality,1300201
ADH_IDHM,10957.0,0.348,Municipality,1300201
ADH_IDHM,14610.0,0.45,Municipality,1300201
ADH_IDHM,7670.0,0.357,Municipality,1300300
ADH_IDHM,10957.0,0.42,Municipality,1300300
ADH_IDHM,14610.0,0.577,Municipality,1300300
ADH_IDHM,7670.0,0.317,Municipality,1300409
ADH_IDHM,10957.0,0.384,Municipality,1300409
ADH_IDHM,14610.0,0.5,Municipality,1300409
ADH_IDHM,7670.0,0.293,Municipality,1300508
ADH_IDHM,10957.0,0.399,Municipality,1300508
ADH_IDHM,14610.0,0.574,Municipality,1300508
ADH_IDHM,7670.0,0.3,Municipality,1300607
ADH_IDHM,10957.0,0.389,Municipality,1300607
ADH_IDHM,14610.0,0.574,Municipality,1300607
ADH_IDHM,7670.0,0.272,Municipality,1300631
ADH_IDHM,10957.0,0.34,Municipality,1300631
ADH_IDHM,14610.0,0.506,Municipality,1300631
ADH_IDHM,7670.0,0.287,Municipality,1300680
ADH_IDHM,10957.0,0.372,Municipality,1300680
ADH_IDHM,14610.0,0.565,Municipality,1300680
ADH_IDHM,7670.0,0.288,Municipality,1300706
ADH_IDHM,10957.0,0.401,Municipality,1300706
ADH_IDHM,14610.0,0.588,Municipality,1300706
ADH_IDHM,7670.0,0.305,Municipality,1300805
ADH_IDHM,10957.0,0.389,Municipality,1300805
ADH_IDHM,14610.0,0.56,Municipality,1300805
ADH_IDHM,7670.0,0.258,Municipality,1300839
ADH_IDHM,10957.0,0.403,Municipality,1300839
ADH_IDHM,14610.0,0.569,Municipality,1300839
ADH_IDHM,7670.0,0.212,Municipality,1300904
ADH_IDHM,10957.0,0.38,Municipality,1300904
ADH_IDHM,14610.0,0.53,Municipality,1300904
ADH_IDHM,7670.0,0.268,Municipality,1301001
ADH_IDHM,10957.0,0.344,Municipality,1301001
ADH_IDHM,14610.0,0.549,Municipality,1301001
ADH_IDHM,7670.0,0.237,Municipality,1301100
ADH_IDHM,10957.0,0.337,Municipality,1301100
ADH_IDHM,14610.0,0.557,Municipality,1301100
ADH_IDHM,7670.0,0.248,Municipality,1301159
ADH_IDHM,10957.0,0.387,Municipality,1301159
ADH_IDHM,14610.0,0.568,Municipality,1301159
ADH_IDHM,7670.0,0.312,Municipality,1301209
ADH_IDHM,10957.0,0.389,Municipality,1301209
ADH_IDHM,14610.0,0.586,Municipality,1301209
ADH_IDHM,7670.0,0.355,Municipality,1301308
ADH_IDHM,10957.0,0.44,Municipality,1301308
ADH_IDHM,14610.0,0.563,Municipality,1301308
ADH_IDHM,7670.0,0.295,Municipality,1301407
ADH_IDHM,10957.0,0.409,Municipality,1301407
ADH_IDHM,14610.0,0.563,Municipality,1301407
ADH_IDHM,7670.0,0.263,Municipality,1301506
ADH_IDHM,10957.0,0.346,Municipality,1301506
ADH_IDHM,14610.0,0.509,Municipality,1301506
ADH_IDHM,7670.0,0.243,Municipality,1301605
ADH_IDHM,10957.0,0.32,Municipality,1301605
ADH_IDHM,14610.0,0.53,Municipality,1301605
ADH_IDHM,7670.0,0.266,Municipality,1301654
ADH_IDHM,10957.0,0.381,Municipality,1301654
ADH_IDHM,14610.0,0.532,Municipality,1301654
ADH_IDHM,7670.0,0.296,Municipality,1301704
ADH_IDHM,10957.0,0.475,Municipality,1301704
ADH_IDHM,14610.0,0.605,Municipality,1301704
ADH_IDHM,7670.0,0.257,Municipality,1301803
ADH_IDHM,10957.0,0.318,Municipality,1301803
ADH_IDHM,14610.0,0.481,Municipality,1301803
ADH_IDHM,7670.0,0.323,Municipality,1301852
ADH_IDHM,10957.0,0.437,Municipality,1301852
ADH_IDHM,14610.0,0.613,Municipality,1301852
ADH_IDHM,7670.0,0.408,Municipality,1301902
ADH_IDHM,10957.0,0.491,Municipality,1301902
ADH_IDHM,14610.0,0.644,Municipality,1301902
ADH_IDHM,7670.0,0.21,Municipality,1301951
ADH_IDHM,10957.0,0.331,Municipality,1301951
ADH_IDHM,14610.0,0.477,Municipality,1301951
ADH_IDHM,7670.0,0.409,Municipality,1302009
ADH_IDHM,10957.0,0.478,Municipality,1302009
ADH_IDHM,14610.0,0.654,Municipality,1302009
ADH_IDHM,7670.0,0.208,Municipality,1302108
ADH_IDHM,10957.0,0.304,Municipality,1302108
ADH_IDHM,14610.0,0.522,Municipality,1302108
ADH_IDHM,7670.0,0.291,Municipality,1302207
ADH_IDHM,10957.0,0.362,Municipality,1302207
ADH_IDHM,14610.0,0.522,Municipality,1302207
ADH_IDHM,7670.0,0.187,Municipality,1302306
ADH_IDHM,10957.0,0.304,Municipality,1302306
ADH_IDHM,14610.0,0.516,Municipality,1302306
ADH_IDHM,7670.0,0.254,Municipality,1302405
ADH_IDHM,10957.0,0.386,Municipality,1302405
ADH_IDHM,14610.0,0.531,Municipality,1302405
ADH_IDHM,7670.0,0.339,Municipality,1302504
ADH_IDHM,10957.0,0.437,Municipality,1302504
ADH_IDHM,14610.0,0.614,Municipality,1302504
ADH_IDHM,7670.0,0.244,Municipality,1302553
ADH_IDHM,10957.0,0.429,Municipality,1302553
ADH_IDHM,14610.0,0.596,Municipality,1302553
ADH_IDHM,7670.0,0.521,Municipality,1302603
ADH_IDHM,10957.0,0.601,Municipality,1302603
ADH_IDHM,14610.0,0.737,Municipality,1302603
ADH_IDHM,7670.0,0.287,Municipality,1302702
ADH_IDHM,10957.0,0.398,Municipality,1302702
ADH_IDHM,14610.0,0.582,Municipality,1302702
ADH_IDHM,7670.0,0.265,Municipality,1302801
ADH_IDHM,10957.0,0.291,Municipality,1302801
ADH_IDHM,14610.0,0.498,Municipality,1302801
ADH_IDHM,7670.0,0.333,Municipality,1302900
ADH_IDHM,10957.0,0.454,Municipality,1302900
ADH_IDHM,14610.0,0.588,Municipality,1302900
ADH_IDHM,7670.0,0.356,Municipality,1303007
ADH_IDHM,10957.0,0.441,Municipality,1303007
ADH_IDHM,14610.0,0.586,Municipality,1303007
ADH_IDHM,7670.0,0.321,Municipality,1303106
ADH_IDHM,10957.0,0.373,Municipality,1303106
ADH_IDHM,14610.0,0.558,Municipality,1303106
ADH_IDHM,7670.0,0.264,Municipality,1303205
ADH_IDHM,10957.0,0.428,Municipality,1303205
ADH_IDHM,14610.0,0.57,Municipality,1303205
ADH_IDHM,7670.0,0.293,Municipality,1303304
ADH_IDHM,10957.0,0.387,Municipality,1303304
ADH_IDHM,14610.0,0.554,Municipality,1303304
ADH_IDHM,7670.0,0.414,Municipality,1303403
ADH_IDHM,10957.0,0.488,Municipality,1303403
ADH_IDHM,14610.0,0.658,Municipality,1303403
ADH_IDHM,7670.0,0.177,Municipality,1303502
ADH_IDHM,10957.0,0.287,Municipality,1303502
ADH_IDHM,14610.0,0.496,Municipality,1303502
ADH_IDHM,7670.0,0.461,Municipality,1303536
ADH_IDHM,10957.0,0.537,Municipality,1303536
ADH_IDHM,14610.0,0.647,Municipality,1303536
ADH_IDHM,7670.0,0.353,Municipality,1303569
ADH_IDHM,10957.0,0.434,Municipality,1303569
ADH_IDHM,14610.0,0.611,Municipality,1303569
ADH_IDHM,7670.0,0.236,Municipality,1303601
ADH_IDHM,10957.0,0.384,Municipality,1303601
ADH_IDHM,14610.0,0.479,Municipality,1303601
ADH_IDHM,7670.0,0.206,Municipality,1303700
ADH_IDHM,10957.0,0.306,Municipality,1303700
ADH_IDHM,14610.0,0.49,Municipality,1303700
ADH_IDHM,7670.0,0.388,Municipality,1303809
ADH_IDHM,10957.0,0.478,Municipality,1303809
ADH_IDHM,14610.0,0.609,Municipality,1303809
ADH_IDHM,7670.0,0.269,Municipality,1303908
ADH_IDHM,10957.0,0.324,Municipality,1303908
ADH_IDHM,14610.0,0.521,Municipality,1303908
ADH_IDHM,7670.0,0.354,Municipality,1303957
ADH_IDHM,10957.0,0.428,Municipality,1303957
ADH_IDHM,14610.0,0.577,Municipality,1303957
ADH_IDHM,7670.0,0.373,Municipality,1304005
ADH_IDHM,10957.0,0.486,Municipality,1304005
ADH_IDHM,14610.0,0.632,Municipality,1304005
ADH_IDHM,7670.0,0.333,Municipality,1304062
ADH_IDHM,10957.0,0.47,Municipality,1304062
ADH_IDHM,14610.0,0.616,Municipality,1304062
ADH_IDHM,7670.0,0.151,Municipality,1304104
ADH_IDHM,10957.0,0.293,Municipality,1304104
ADH_IDHM,14610.0,0.502,Municipality,1304104
ADH_IDHM,7670.0,0.349,Municipality,1304203
ADH_IDHM,10957.0,0.438,Municipality,1304203
ADH_IDHM,14610.0,0.639,Municipality,1304203
ADH_IDHM,7670.0,0.257,Municipality,1304237
ADH_IDHM,10957.0,0.327,Municipality,1304237
ADH_IDHM,14610.0,0.548,Municipality,1304237
ADH_IDHM,7670.0,0.29,Municipality,1304260
ADH_IDHM,10957.0,0.358,Municipality,1304260
ADH_IDHM,14610.0,0.527,Municipality,1304260
ADH_IDHM,7670.0,0.386,Municipality,1304302
ADH_IDHM,10957.0,0.487,Municipality,1304302
ADH_IDHM,14610.0,0.62,Municipality,1304302
ADH_IDHM,7670.0,0.254,Municipality,1304401
ADH_IDHM,10957.0,0.427,Municipality,1304401
ADH_IDHM,14610.0,0.588,Municipality,1304401
